Year,Entity,Life expectancy
1930,Germany,59.459999
1931,Germany,59.868
1932,Germany,60.276001
1933,Germany,60.683998
1934,Germany,61.091999
1935,Germany,61.5
1936,Germany,61.786667
1937,Germany,62.073334
1938,Germany,62.360001
1939,Germany,61
1940,Germany,60.659874
1941,Germany,59
1942,Germany,55
1943,Germany,49.700001
1944,Germany,37
1945,Germany,29
1946,Germany,60.51136
1947,Germany,62.10952
1948,Germany,63.70768
1949,Germany,65.30584
1950,Germany,66.903999
1951,Germany,67.066002
1952,Germany,67.385002
1953,Germany,67.692001
1954,Germany,67.987999
1955,Germany,68.271004
1956,Germany,68.562447
1957,Germany,68.480408
1958,Germany,69.220451
1959,Germany,69.327461
1960,Germany,69.245232
1961,Germany,69.836433
1962,Germany,70.004387
1963,Germany,70.092888
1964,Germany,70.6511
1965,Germany,70.634499
1966,Germany,70.748108
1967,Germany,70.969948
1968,Germany,70.615448
1969,Germany,70.464897
1970,Germany,70.704155
